slide_id,low_count,high_count,edges,low_with_child_count,low_child_count_mean,low_child_count_median,high_with_parent_count,unmapped_high_count,high_parent_coverage,low_child_coverage,padding_low_gt50_count,padding_high_gt50_count
2470657-B3,472,7128,15332,472,32.483050847457626,36.0,7091,37,0.9948092031425365,1.0,0,17
2471072-B2,263,3844,7739,263,29.425855513307983,34.0,3772,72,0.9812695109261186,1.0,0,0
2471237-B2,463,6815,14124,463,30.50539956803456,35.0,6715,100,0.9853264856933236,1.0,0,0
2471442-B3,261,3765,8015,261,30.708812260536398,36.0,3738,27,0.9928286852589642,1.0,0,0
2471452-B2,132,1772,2317,132,17.553030303030305,18.0,1682,90,0.9492099322799097,1.0,0,0
2471595-B3,321,4641,9426,321,29.364485981308412,32.0,4579,62,0.986640810170222,1.0,0,18
2471618-B3,258,3840,6678,258,25.88372093023256,30.0,3742,98,0.9744791666666667,1.0,0,0
2471884-B2,140,1810,3303,140,23.59285714285714,24.0,1739,71,0.9607734806629834,1.0,0,0
2471885-B2,128,1739,3176,128,24.8125,26.0,1638,101,0.9419206440483037,1.0,0,0
2471887-B,223,3135,4367,223,19.582959641255606,22.0,3038,97,0.9690590111642743,1.0,0,0
2471921-B2,196,2810,4189,196,21.372448979591837,24.0,2771,39,0.9861209964412812,1.0,0,0
2471957-B,85,1104,1584,85,18.63529411764706,20.0,1081,23,0.9791666666666666,1.0,0,0
2471959-B2,167,2280,3849,167,23.047904191616766,25.0,2180,100,0.956140350877193,1.0,0,0
2471963-B,280,3985,7711,280,27.539285714285715,29.0,3842,143,0.9641154328732748,1.0,0,0
2472316-B7,46,609,1162,46,25.26086956521739,25.5,598,11,0.9819376026272578,1.0,0,0
2472453-B2,84,1089,2252,84,26.80952380952381,30.0,1072,17,0.9843893480257117,1.0,0,0
2472465-B2,249,3586,7612,249,30.570281124497992,35.0,3567,19,0.9947016174010039,1.0,0,0
2472471-B2,190,2694,5214,190,27.442105263157895,29.0,2607,87,0.967706013363029,1.0,0,0
2472481-B2,155,2139,4250,155,27.419354838709676,30.0,2112,27,0.9873772791023843,1.0,0,0
2472500-B2,141,1962,4022,141,28.52482269503546,31.0,1954,8,0.9959225280326198,1.0,0,0
2472505-B,112,1592,3230,112,28.839285714285715,32.0,1574,18,0.9886934673366834,1.0,0,0
2472509-B4,245,3499,6192,245,25.273469387755103,29.0,3442,57,0.9837096313232352,1.0,0,0
2472509-B6,461,6909,12593,461,27.316702819956618,30.0,6884,25,0.9963815313359387,1.0,0,0
2473212-B4,187,2489,5021,187,26.850267379679146,29.0,2446,43,0.98272398553636,1.0,0,0
2473218-B2,321,4586,7881,321,24.55140186915888,28.0,4477,109,0.9762320104666375,1.0,0,0
2473218-B3,255,3592,7478,255,29.32549019607843,34.0,3547,45,0.9874721603563474,1.0,0,0
2473228-B2,188,2583,3647,188,19.398936170212767,22.0,2511,72,0.9721254355400697,1.0,0,0
2473266-B,201,2728,5401,201,26.870646766169155,28.0,2666,62,0.9772727272727273,1.0,0,0
2473272-B3,247,3338,6728,247,27.238866396761132,28.0,3280,58,0.9826243259436789,1.0,0,0
2473366-B2,228,3002,5246,228,23.00877192982456,25.0,2948,54,0.9820119920053297,1.0,0,6
2473394-B2,295,4135,8288,295,28.09491525423729,30.0,4055,80,0.9806529625151149,1.0,0,0
2473534-B2,228,3213,6476,228,28.403508771929825,31.0,3163,50,0.9844382197323374,1.0,0,0
2473545-B2,422,6025,10748,422,25.46919431279621,30.0,5951,74,0.9877178423236515,1.0,0,0
2473545-B3,248,3653,5224,248,21.06451612903226,24.0,3610,43,0.9882288529975363,1.0,0,0
2473549-B,234,3285,5591,234,23.89316239316239,26.0,3217,68,0.9792998477929985,1.0,0,0
2473600-B3,321,4559,8859,321,27.598130841121495,29.0,4435,124,0.9728010528624699,1.0,0,0
2473608-B2,299,4453,9402,299,31.444816053511705,36.0,4421,32,0.9928138333707612,1.0,0,0
2473621-B3,158,2107,3908,158,24.734177215189874,24.0,2001,106,0.9496915045087803,1.0,0,0
2473623-B2,73,947,2009,73,27.52054794520548,30.0,947,0,1.0,1.0,0,0
2473738-B3,264,3919,8348,264,31.62121212121212,36.0,3904,15,0.9961724929829038,1.0,0,0
2474124-B2,209,3104,4818,209,23.05263157894737,25.0,2886,218,0.9297680412371134,1.0,0,0
2474140-B3,227,3068,5095,227,22.444933920704845,24.0,2988,80,0.9739243807040417,1.0,0,0
2474150-B3,220,3180,6523,220,29.65,33.0,3155,25,0.9921383647798742,1.0,0,0
2474188-B2,317,4656,9485,317,29.9211356466877,34.0,4580,76,0.9836769759450171,1.0,0,0
2474189-B7,61,844,1404,61,23.016393442622952,25.0,820,24,0.9715639810426541,1.0,0,0
2474291-B2,316,4662,9654,316,30.550632911392405,34.0,4620,42,0.990990990990991,1.0,0,0
2474337-B3,301,4367,9094,301,30.21262458471761,36.0,4311,56,0.9871765514082894,1.0,0,0
2474500-B2,257,3784,4390,257,17.08171206225681,19.0,3604,180,0.952431289640592,1.0,0,0
2474612-B2,268,3923,6899,268,25.742537313432837,29.0,3878,45,0.9885291868468009,1.0,0,0
2474626-B2,212,3019,5041,212,23.778301886792452,26.0,2927,92,0.9695263332229215,1.0,0,0
2474631-B3,293,4105,7335,293,25.034129692832764,29.0,4067,38,0.9907429963459196,1.0,0,0
2474638-B3,155,2249,4603,155,29.696774193548386,33.0,2233,16,0.9928857269897733,1.0,0,0
2474704-B2,144,2111,4394,144,30.51388888888889,34.0,2107,4,0.9981051634296542,1.0,0,0
