slide_id,low_count,high_count,low_with_child_count,low_with_child_ratio,low_no_child_count,low_child_count_mean,low_child_count_median,low_child_count_min,low_child_count_max,low_16_child_count,low_16_child_ratio,high_with_parent_count,high_with_parent_ratio,high_no_parent_count,high_multi_parent_count,high_parent_count_max,high_center_inside_total,high_fully_inside_total,high_overlap_total,low_w,low_h,high_w,high_h,fov_ratio_x,fov_ratio_y
25002379B2,177,2523,177,1.0,0,30.531073446327685,36.0,8,36,1,0.005649717514124294,2511,0.995243757431629,12,1782,4,2455,2455,5404,4096.031710640406,4096.94674556213,1024.0079276601016,1024.0473285265298,4.0,4.000739644970414
25002510B2,185,2072,185,1.0,0,16.589189189189188,16.0,4,30,8,0.043243243243243246,1913,0.9232625482625483,159,907,5,1806,1747,3069,4096.209909804381,4096.403705893948,1024.0224896775894,1024.0,4.000117137167623,4.000394244037059
25009557B,153,2222,153,1.0,0,30.026143790849673,33.0,7,36,1,0.006535947712418301,2189,0.9851485148514851,33,1508,4,2109,2109,4594,4096.18851251841,4096.683661082787,1024.015708894548,1024.0466075980094,4.000122729504173,4.000485554746298
25027606B3,152,2077,152,1.0,0,23.861842105263158,27.0,5,30,6,0.039473684210526314,2062,0.9927780452575831,15,1163,4,1998,1998,3627,4096.473270682483,4096.513213049025,1024.0,1024.0349886104784,4.000462178400863,4.000364497904137
25027636B2,344,4805,344,1.0,0,27.96511627906977,31.0,5,36,4,0.011627906976744186,4665,0.9708636836628513,140,3169,4,4459,4418,9620,4096.309825063263,4096.513213049025,1024.0211232741076,1024.0349886104784,4.000220046209703,4.000364497904137
25027718B2,237,3523,237,1.0,0,31.80590717299578,36.0,8,36,1,0.004219409282700422,3518,0.9985807550383197,5,2496,4,3444,3444,7538,4096.483720930232,4096.513213049025,1024.0093013116302,1024.0349886104784,4.000436046511628,4.000364497904137
25027723B4,248,3532,248,1.0,0,29.47983870967742,33.0,6,36,2,0.008064516129032258,3486,0.9869762174405436,46,2406,4,3367,3362,7311,4096.026795059661,4096.093515981735,1024.0066987649152,1024.0233789954339,4.0,4.0
25027770B,218,3071,218,1.0,0,29.1697247706422,34.0,8,36,3,0.013761467889908258,3046,0.9918593292087268,25,2093,4,2916,2916,6359,4096.08334237656,4096.153661464586,1024.02083559414,1024.0384153661464,4.0,4.0
25028010B2,144,1946,144,1.0,0,24.875,26.0,7,36,2,0.013888888888888888,1878,0.9650565262076053,68,1137,4,1685,1679,3582,4096.072173667888,4096.616410446379,1024.018043416972,1024.011852400574,4.0,4.000555658455269
25028010B2a,132,1839,132,1.0,0,18.386363636363637,19.0,5,25,5,0.03787878787878788,1703,0.9260467645459489,136,590,4,1617,1601,2427,4096.151591413767,4096.645513763396,1024.0,1024.0,4.000148038490007,4.000630384534566
