slide_id,scale,patch_count,padding_bucket,count,fraction
25018571B2,5x,339,<=5%,338,0.9970501474926253
25018571B2,5x,339,>50%,1,0.0029498525073746312
25018571B2,20x,4925,<=5%,4925,1.0
25018910B2,5x,145,<=5%,145,1.0
25018910B2,20x,2088,<=5%,2088,1.0
25019081B3,5x,301,<=5%,301,1.0
25019081B3,20x,4444,<=5%,4444,1.0
25019102B4,5x,312,<=5%,312,1.0
25019102B4,20x,4517,<=5%,4517,1.0
25019107B,5x,235,<=5%,235,1.0
25019107B,20x,3417,<=5%,3417,1.0
25019283B2,5x,166,<=5%,166,1.0
25019283B2,20x,2178,<=5%,2178,1.0
25019284B2,5x,244,<=5%,244,1.0
25019284B2,20x,3526,<=5%,3526,1.0
25019352B2,5x,232,<=5%,232,1.0
25019352B2,20x,3152,<=5%,3152,1.0
25019376B2,5x,412,<=5%,410,0.9951456310679612
25019376B2,5x,412,10-25%,2,0.0048543689320388345
25019376B2,20x,6083,<=5%,6083,1.0
25019379B,5x,219,<=5%,219,1.0
25019379B,20x,3103,<=5%,3103,1.0
25019384B2,5x,226,<=5%,226,1.0
25019384B2,20x,3241,<=5%,3239,0.9993829065103363
25019384B2,20x,3241,25-50%,2,0.000617093489663684
25019457B2,5x,192,<=5%,192,1.0
25019457B2,20x,2629,<=5%,2629,1.0
25019468B2,5x,185,<=5%,183,0.9891891891891892
25019468B2,5x,185,10-25%,2,0.010810810810810811
25019468B2,20x,2556,<=5%,2542,0.9945226917057903
25019468B2,20x,2556,5-10%,8,0.003129890453834116
25019468B2,20x,2556,25-50%,6,0.002347417840375587
25019508B4,5x,178,<=5%,178,1.0
25019508B4,20x,2594,<=5%,2594,1.0
25019621B2,5x,124,<=5%,124,1.0
25019621B2,20x,1765,<=5%,1765,1.0
25019621B4,5x,181,<=5%,181,1.0
25019621B4,20x,2623,<=5%,2623,1.0
25019716B2,5x,186,<=5%,186,1.0
25019716B2,20x,2594,<=5%,2594,1.0
25019773B3,5x,139,<=5%,139,1.0
25019773B3,20x,1993,<=5%,1993,1.0
25019776B2,5x,287,<=5%,287,1.0
25019776B2,20x,4229,<=5%,4229,1.0
25019790B2,5x,438,<=5%,438,1.0
25019790B2,20x,6505,<=5%,6505,1.0
25019806B2,5x,220,<=5%,220,1.0
25019806B2,20x,3141,<=5%,3141,1.0
25020257B2,5x,287,<=5%,287,1.0
25020257B2,20x,4243,<=5%,4243,1.0
25020263B2,5x,348,<=5%,346,0.9942528735632183
25020263B2,5x,348,>50%,2,0.005747126436781609
25020263B2,20x,4827,<=5%,4824,0.9993784959602238
25020263B2,20x,4827,25-50%,3,0.0006215040397762585
25020282B2,5x,342,<=5%,342,1.0
25020282B2,20x,5158,<=5%,5158,1.0
25020291B2,5x,159,<=5%,158,0.9937106918238994
25020291B2,5x,159,>50%,1,0.006289308176100629
25020291B2,20x,2136,<=5%,2132,0.99812734082397
25020291B2,20x,2136,>50%,4,0.0018726591760299626
25020573B3,5x,286,<=5%,286,1.0
25020573B3,20x,4278,<=5%,4276,0.9995324918186068
25020573B3,20x,4278,25-50%,1,0.0002337540906965872
25020573B3,20x,4278,>50%,1,0.0002337540906965872
25020714B2,5x,515,<=5%,514,0.9980582524271845
25020714B2,5x,515,>50%,1,0.001941747572815534
25020714B2,20x,7718,<=5%,7716,0.9997408655091993
25020714B2,20x,7718,>50%,2,0.0002591344908007256
25020717B2,5x,219,<=5%,219,1.0
25020717B2,20x,3029,<=5%,3029,1.0
25020760B3,5x,319,<=5%,319,1.0
25020760B3,20x,4559,<=5%,4559,1.0
25021120B4,5x,281,<=5%,281,1.0
25021120B4,20x,4056,<=5%,4041,0.996301775147929
25021120B4,20x,4056,25-50%,7,0.0017258382642998027
25021120B4,20x,4056,5-10%,8,0.0019723865877712033
25021164B2,5x,355,<=5%,355,1.0
25021164B2,20x,5257,<=5%,5257,1.0
25021171B2,5x,136,<=5%,136,1.0
25021171B2,20x,1875,<=5%,1875,1.0
25021197B2,5x,228,<=5%,228,1.0
25021197B2,20x,3106,<=5%,3106,1.0
25021260B2,5x,260,<=5%,260,1.0
25021260B2,20x,3839,<=5%,3839,1.0
25021291B2,5x,267,<=5%,267,1.0
25021291B2,20x,3862,<=5%,3862,1.0
25021419B1,5x,317,<=5%,317,1.0
25021419B1,20x,4554,<=5%,4554,1.0
25021474B,5x,171,<=5%,169,0.9883040935672515
25021474B,5x,171,>50%,2,0.011695906432748537
25021474B,20x,2233,<=5%,2226,0.9968652037617555
25021474B,20x,2233,5-10%,7,0.003134796238244514
25021481B2,5x,170,<=5%,170,1.0
25021481B2,20x,2451,<=5%,2451,1.0
25021538B2,5x,269,<=5%,269,1.0
25021538B2,20x,3677,<=5%,3677,1.0
25021554B2,5x,270,<=5%,270,1.0
25021554B2,20x,3937,<=5%,3937,1.0
25021575B4,5x,95,<=5%,95,1.0
25021575B4,20x,1255,<=5%,1255,1.0
25021622B4,5x,139,<=5%,139,1.0
25021622B4,20x,1976,<=5%,1976,1.0
25021640B3,5x,392,<=5%,392,1.0
25021640B3,20x,5874,<=5%,5874,1.0
25021658B3,5x,245,<=5%,245,1.0
25021658B3,20x,3291,<=5%,3291,1.0
25021662B2,5x,243,<=5%,243,1.0
25021662B2,20x,3524,<=5%,3524,1.0
25021667B2,5x,244,<=5%,244,1.0
25021667B2,20x,3355,<=5%,3355,1.0
25021668B2,5x,174,<=5%,174,1.0
25021668B2,20x,2528,<=5%,2528,1.0
25021893B2,5x,317,<=5%,317,1.0
25021893B2,20x,4645,<=5%,4645,1.0
25021894B2,5x,250,<=5%,250,1.0
